,data,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/osc_f,config/osc_pop_name,config/saveFolder,config/simLabel,logdir
19,"loss    0.0
dtype: float64",0.0,1719034471,,False,1,619dc_00019,2024-06-22_01-34-31,2708.9400918483734,2708.9400918483734,3508981,grid,10.0.0.101,2708.9400918483734,1,14.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00019,619dc_00019
20,"loss    0.0
dtype: float64",0.0,1719034462,,False,1,619dc_00020,2024-06-22_01-34-22,2698.216327190399,2698.216327190399,3508984,grid,10.0.0.101,2698.216327190399,1,17.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00020,619dc_00020
21,"loss    0.0
dtype: float64",0.0,1719034400,,False,1,619dc_00021,2024-06-22_01-33-20,2633.720767259598,2633.720767259598,3509495,grid,10.0.0.101,2633.720767259598,1,20.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00021,619dc_00021
22,"loss    0.0
dtype: float64",0.0,1719034490,,False,1,619dc_00022,2024-06-22_01-34-50,2686.548694372177,2686.548694372177,3510903,grid,10.0.0.101,2686.548694372177,1,23.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00022,619dc_00022
23,"loss    0.0
dtype: float64",0.0,1719034537,,False,1,619dc_00023,2024-06-22_01-35-37,2729.068519592285,2729.068519592285,3511539,grid,10.0.0.101,2729.068519592285,1,26.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00023,619dc_00023
24,"loss    0.0
dtype: float64",0.0,1719034473,,False,1,619dc_00024,2024-06-22_01-34-33,2664.5058073997498,2664.5058073997498,3511541,grid,10.0.0.101,2664.5058073997498,1,29.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00024,619dc_00024
25,"loss    0.0
dtype: float64",0.0,1719034450,,False,1,619dc_00025,2024-06-22_01-34-10,2607.8264803886414,2607.8264803886414,3512825,grid,10.0.0.101,2607.8264803886414,1,32.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00025,619dc_00025
26,"loss    0.0
dtype: float64",0.0,1719034537,,False,1,619dc_00026,2024-06-22_01-35-37,2662.966177225113,2662.966177225113,3513474,grid,10.0.0.101,2662.966177225113,1,35.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00026,619dc_00026
27,"loss    0.0
dtype: float64",0.0,1719037024,,False,1,619dc_00027,2024-06-22_02-17-04,2619.9788148403168,2619.9788148403168,3515498,grid,10.0.0.101,2619.9788148403168,1,38.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00027,619dc_00027
28,"loss    0.0
dtype: float64",0.0,1719037049,,False,1,619dc_00028,2024-06-22_02-17-29,2635.1955597400665,2635.1955597400665,3516137,grid,10.0.0.101,2635.1955597400665,1,41.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00028,619dc_00028
29,"loss    0.0
dtype: float64",0.0,1719037122,,False,1,619dc_00029,2024-06-22_02-18-42,2669.2040338516235,2669.2040338516235,3516791,grid,10.0.0.101,2669.2040338516235,1,44.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00029,619dc_00029
30,"loss    0.0
dtype: float64",0.0,1719037058,,False,1,619dc_00030,2024-06-22_02-17-38,2592.581638813019,2592.581638813019,3517433,grid,10.0.0.101,2592.581638813019,1,47.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00030,619dc_00030
31,"loss    0.0
dtype: float64",0.0,1719037095,,False,1,619dc_00031,2024-06-22_02-18-15,2620.4189915657043,2620.4189915657043,3518072,grid,10.0.0.101,2620.4189915657043,1,50.0,IT5A,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00031,619dc_00031
32,"loss    0.0
dtype: float64",0.0,1719037138,,False,1,619dc_00032,2024-06-22_02-18-58,2662.1214044094086,2662.1214044094086,3518081,grid,10.0.0.101,2662.1214044094086,1,5.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00032,619dc_00032
33,"loss    0.0
dtype: float64",0.0,1719037121,,False,1,619dc_00033,2024-06-22_02-18-41,2626.838394641876,2626.838394641876,3519351,grid,10.0.0.101,2626.838394641876,1,8.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00033,619dc_00033
34,"loss    0.0
dtype: float64",0.0,1719037149,,False,1,619dc_00034,2024-06-22_02-19-09,2609.983588218689,2609.983588218689,3520008,grid,10.0.0.101,2609.983588218689,1,11.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00034,619dc_00034
35,"loss    0.0
dtype: float64",0.0,1719037166,,False,1,619dc_00035,2024-06-22_02-19-26,2626.385101556778,2626.385101556778,3520010,grid,10.0.0.101,2626.385101556778,1,14.0,IT5B,../grid_batch_5sec_IT3_IT5A_IT5B,grid_00035,619dc_00035
